Run:14.2.14 7:56:6; Score: 22
Run:14.2.14 8:2:2; Score: 9
Run:14.2.14 8:3:9; Score: 7
Run:14.2.14 8:4:31; Score: 44
Run:14.2.14 8:44:29; Score: 0
Run:14.2.14 8:45:17; Score: 1
Run:14.2.14 8:45:48; Score: 1
Run:14.2.14 8:48:8; Score: 24
Run:14.2.14 8:48:41; Score: 2
Run:14.2.14 14:9:32; Score: 10
Run:23.2.23 16:28:1; Score: 49
Run:23.2.23 16:40:3; Score: 23
Run:23.2.23 16:49:27; Score: 97
Run:23.2.23 16:50:36; Score: 1
Run:23.2.23 16:52:46; Score: 2
Run:23.2.23 17:2:44; Score: 1
Run:23.2.23 17:4:10; Score: 2
Run:23.2.23 17:5:14; Score: 9
Run:23.2.23 17:6:6; Score: 1
Run:23.2.23 17:14:18; Score: 12
Run:23.2.23 17:17:15; Score: 4
Run:23.2.23 17:18:8; Score: 12
Run:23.2.23 17:18:46; Score: 23
Run:23.2.23 17:24:42; Score: 19
Run:23.2.23 17:32:38; Score: 0
Run:23.2.23 17:33:37; Score: 0
Run:23.2.23 17:34:16; Score: 0
Run:23.2.23 17:34:49; Score: 0
Run:23.2.23 17:36:35; Score: 0
Run:23.2.23 17:37:37; Score: 1
Run:23.2.23 17:37:39; Score: 1
Run:23.2.23 17:38:33; Score: 0
Run:23.2.23 17:38:46; Score: 0
Run:23.2.23 17:39:3; Score: 0
Run:23.2.23 17:39:6; Score: 0
Run:23.2.23 17:40:29; Score: 18
Run:23.2.23 17:40:33; Score: 0
Run:23.2.23 17:41:58; Score: 3
Run:23.2.23 19:23:52; Score: 9
Run:23.2.23 19:24:15; Score: 12
Run:23.2.23 19:25:15; Score: 30
Run:23.2.23 19:25:21; Score: 30
Run:24.2.24 9:16:21; Score: 0
Run:26.2.26 22:54:0; Score: 1
Run:26.2.26 22:58:45; Score: 2
Run:26.2.26 23:2:6; Score: 0
Run:26.2.26 23:11:27; Score: 0
Run:26.2.26 23:18:22; Score: 0
Run:26.2.26 23:18:23; Score: 0
Run:26.2.26 23:18:57; Score: 2
Run:26.2.26 23:21:8; Score: 6
Run:26.2.26 23:21:9; Score: 6
Run:27.2.27 0:20:32; Score: 0
Run:27.2.27 0:33:20; Score: 0
Run:27.2.27 0:34:27; Score: 0
